LineagesOfInterest,DateSampling,BatchSource,weights
Alpha,2021-01-28,Middle-Earth,8
NULL,2021-11-10,Wakanda,5
NULL,2021-09-26,Gilead,4
Alpha,2020-11-20,Hogwarts,6
NULL,2022-01-18,Middle-Earth,26
BA.1,2022-01-05,Narnia,24
Alpha,2021-05-23,Hogwarts,174
Omicron,2022-02-03,Hogwarts,21
NULL,2020-11-02,Middle-Earth,4
BA.1,2022-02-01,Hogwarts,113
NULL,2021-05-16,Panem,98
Delta,2022-01-10,Hogwarts,27
NULL,2020-12-08,Hogwarts,321
NULL,2020-11-28,Panem,694
NULL,2021-07-03,Hogwarts,77
NULL,2021-02-08,Panem,360
NULL,2022-02-14,Pandora,36
Alpha,2021-03-29,Gilead,11
Gamma,2021-01-26,Panem,3
NULL,2021-01-06,Panem,494
NULL,2022-02-25,Asgard,6
NULL,2022-01-19,Asgard,19
Alpha,2021-08-07,Hogwarts,6
BA.1,2021-12-31,Pandora,53
Eta,2021-03-01,Panem,12
BA.2,2021-12-30,Asgard,7
BA.1,2021-12-28,Wakanda,4
NULL,2021-12-27,Middle-Earth,64
NULL,2021-02-25,Hogwarts,22
Alpha,2021-06-11,Hogwarts,270
Eta,2021-02-19,Panem,7
NULL,2022-02-05,Hogwarts,304
BA.2,2022-01-06,Hogwarts,264
Delta,2021-11-07,Asgard,33
BA.2,2021-12-17,Gilead,6
NULL,2021-11-12,Hogwarts,51
NULL,2021-03-29,Gilead,8
NULL,2022-02-25,Pandora,7
BA.1,2021-12-22,Narnia,8
NULL,2021-09-05,Asgard,5
NULL,2021-12-19,Gilead,5
Delta,2021-09-11,Neverland,6
Alpha,2021-01-18,Hogwarts,5
Delta,2021-12-31,Middle-Earth,3
NULL,2021-05-23,Panem,128
Alpha,2021-02-28,Hogwarts,14
Delta,2021-10-14,Wakanda,5
Delta,2021-08-24,Hogwarts,1035
NULL,2021-11-16,Hogwarts,239
BA.2,2022-02-01,Pandora,136
NULL,2021-12-04,Hogwarts,286
BA.1,2021-12-20,Middle-Earth,44
NULL,2020-12-10,Middle-Earth,28
Delta,2021-10-11,Wakanda,4
Delta,2021-10-25,Pandora,9
NULL,2021-02-03,Middle-Earth,46
Alpha,2021-06-13,Asgard,14
Delta,2021-10-15,Neverland,9
NULL,2021-01-04,Narnia,198
BA.1,2021-12-19,Narnia,27
NULL,2021-03-23,Pandora,5
NULL,2021-03-05,Panem,144
Alpha,2021-04-21,Narnia,10
Alpha,2021-03-04,Agrabah,6
NULL,2021-02-06,Middle-Earth,54
NULL,2021-03-09,Panem,212
Delta,2021-08-30,Agrabah,5
NULL,2021-02-11,Panem,257
BA.1,2022-01-18,Pandora,75
NULL,2020-10-19,Hogwarts,43
NULL,2021-04-08,Panem,64
Delta,2021-09-23,Gilead,6
NULL,2021-08-28,Gilead,10
NULL,2020-09-22,Hogwarts,20
Alpha,2021-02-18,Narnia,3
NULL,2021-11-30,Middle-Earth,20
BA.2,2022-01-11,Agrabah,10
NULL,2021-04-27,Narnia,3
NULL,2022-01-05,Asgard,9
Alpha,2021-03-27,Gilead,3
NULL,2021-04-08,Agrabah,7
NULL,2021-02-03,Agrabah,6
NULL,2022-02-27,Middle-Earth,9
Delta,2021-11-13,Hogwarts,1277
BA.2,2022-01-30,Gilead,20
Alpha,2021-06-06,Hogwarts,537
BA.2,2022-01-04,Hogwarts,79
Delta,2021-11-29,Hogwarts,2085
NULL,2022-01-19,Gilead,5
Delta,2021-08-24,Narnia,11
NULL,2021-05-06,Hogwarts,16
BA.2,2022-02-26,Hogwarts,2479
NULL,2021-01-03,Narnia,153
NULL,2022-01-02,Middle-Earth,37
BA.1,2021-12-11,Pandora,9
Delta,2021-11-26,Gilead,16
NULL,2020-11-01,Hogwarts,35
BA.1,2022-02-02,Narnia,5
NULL,2020-12-10,Hogwarts,381
Alpha,2021-05-27,Panem,981
Delta,2021-07-19,Hogwarts,1173
BA.1,2021-12-30,Narnia,10
Alpha,2021-03-08,Gilead,5
NULL,2021-06-05,Wakanda,3
Delta,2021-11-05,Pandora,6
BA.1,2022-01-17,Pandora,70
Alpha,2021-03-12,Agrabah,6
Delta,2021-09-28,Wakanda,5
NULL,2021-03-28,Gilead,5
BA.1,2022-01-17,Wakanda,5
Delta,2021-08-10,Wakanda,5
NULL,2022-02-25,Gilead,5
Alpha,2021-02-20,Agrabah,5
NULL,2021-01-31,Gilead,4
NULL,2021-06-29,Hogwarts,57
BA.2,2022-01-27,Narnia,35
NULL,2021-02-02,Gilead,9
Delta,2021-08-26,Gilead,6
Alpha,2021-04-17,Panem,412
NULL,2021-12-19,Pandora,18
Alpha,2021-05-02,Hogwarts,42
Delta,2021-11-24,Asgard,42
NULL,2022-02-21,Pandora,34
Alpha,2020-12-27,Hogwarts,5
Delta,2021-07-19,Narnia,14
NULL,2020-12-18,Pandora,11
Delta,2021-10-20,Narnia,12
NULL,2020-11-12,Panem,556
BA.1,2022-01-10,Asgard,8
NULL,2022-02-03,Gilead,34
Alpha,2021-05-20,Hogwarts,161
Alpha,2020-12-07,Panem,17
NULL,2021-08-29,Hogwarts,60
NULL,2022-01-20,Wakanda,4
Alpha,2021-07-28,Hogwarts,6
Alpha,2021-03-02,Panem,398
NULL,2020-12-22,Hogwarts,379
Delta,2021-11-28,Hogwarts,2046
Alpha,2021-05-30,Hogwarts,669
NULL,2020-09-17,Panem,102
NULL,2021-10-11,Hogwarts,126
Alpha,2021-01-18,Middle-Earth,4
Delta,2021-06-20,Hogwarts,15
Alpha,2021-03-11,Panem,474
Delta,2021-08-04,Asgard,40
Alpha,2021-04-20,Panem,649
NULL,2020-11-10,Panem,448
Delta,2021-09-29,Narnia,5
Delta,2021-09-13,Asgard,7
NULL,2021-04-06,Hogwarts,83
Delta,2021-11-11,Narnia,19
NULL,2021-03-27,Hogwarts,13
NULL,2021-11-01,Wakanda,3
Delta,2021-08-16,Asgard,11
Alpha,2021-06-08,Gilead,3
NULL,2021-03-29,Pandora,3
Alpha,2021-02-15,Middle-Earth,3
NULL,2020-10-26,Hogwarts,41
NULL,2022-01-01,Middle-Earth,14
Delta,2021-10-29,Asgard,13
Delta,2021-12-20,Pandora,34
NULL,2021-07-20,Hogwarts,18
Alpha,2021-05-02,Agrabah,6
BA.2,2022-01-28,Middle-Earth,31
Alpha,2021-04-23,Hogwarts,132
NULL,2021-04-01,Panem,144
NULL,2021-10-10,Hogwarts,51
NULL,2021-08-13,Hogwarts,203
NULL,2021-05-13,Panem,131
BA.2,2022-02-19,Asgard,17
BA.2,2022-01-14,Hogwarts,1226
NULL,2021-08-15,Hogwarts,57
NULL,2022-02-05,Narnia,3
Delta,2021-09-06,Asgard,13
Delta,2021-11-22,Asgard,37
BA.1,2022-01-01,Middle-Earth,46
NULL,2021-01-13,Middle-Earth,62
Alpha,2021-02-24,Panem,346
NULL,2022-02-12,Asgard,6
NULL,2021-11-19,Gilead,3
NULL,2021-03-26,Panem,219
NULL,2022-01-17,Asgard,41
BA.1,2022-01-18,Asgard,9
Omicron,2022-01-05,Hogwarts,9
Delta,2021-10-24,Gilead,3
Eta,2021-03-22,Hogwarts,3
Delta,2021-05-27,Panem,9
Alpha,2021-04-10,Gilead,4
BA.1,2022-01-31,Narnia,6
NULL,2021-03-13,Narnia,4
NULL,2021-12-15,Narnia,5
Omicron,2022-01-15,Hogwarts,6
BA.2,2022-01-05,Asgard,9
Delta,2021-10-05,Agrabah,3
Alpha,2021-03-16,Agrabah,8
NULL,2020-10-27,Panem,354
NULL,2021-07-07,Hogwarts,105
BA.1,2021-12-24,Pandora,38
Alpha,2020-11-30,Hogwarts,13
Alpha,2021-06-12,Narnia,4
Delta,2021-12-31,Hogwarts,49
BA.1,2022-02-12,Hogwarts,145
Delta,2021-10-03,Neverland,12
NULL,2022-02-06,Asgard,6
Delta,2021-12-01,Hogwarts,2795
NULL,2020-12-21,Hogwarts,426
Delta,2021-08-01,Hogwarts,842
Alpha,2021-02-06,Panem,116
Delta,2021-07-15,Wakanda,4
Alpha,2021-02-10,Panem,180
NULL,2020-12-07,Gilead,37
NULL,2021-12-26,Hogwarts,53
Delta,2020-12-28,Hogwarts,12
BA.2,2022-02-15,Asgard,47
NULL,2022-01-31,Gilead,39
BA.2,2022-01-03,Gilead,4
Alpha,2021-03-28,Hogwarts,13
Delta,2021-11-27,Hogwarts,1990
NULL,2020-12-28,Narnia,35
BA.1,2021-12-05,Middle-Earth,3
BA.1,2022-02-18,Hogwarts,106
NULL,2022-02-13,Pandora,18
NULL,2021-01-12,Narnia,33
NULL,2020-09-12,Panem,18
Delta,2021-11-09,Wakanda,6
BA.1,2021-12-17,Gilead,16
Delta,2021-08-30,Narnia,7
NULL,2021-03-11,Agrabah,7
Delta,2021-09-22,Gilead,6
Delta,2021-05-20,Panem,3
Alpha,2021-02-15,Narnia,3
Eta,2021-03-20,Panem,20
Alpha,2021-07-18,Hogwarts,43
NULL,2021-08-21,Asgard,4
Alpha,2021-02-23,Agrabah,7
BA.1,2022-01-28,Pandora,27
NULL,2021-12-29,Hogwarts,113
Delta,2021-10-10,Hogwarts,555
Alpha,2021-02-27,Hogwarts,86
BA.1,2022-02-04,Pandora,16
Delta,2021-12-03,Middle-Earth,54
NULL,2022-02-27,Narnia,11
Delta,2021-10-13,Gilead,4
NULL,2021-05-29,Wakanda,4
NULL,2021-04-02,Panem,95
Delta,2021-12-14,Pandora,30
Delta,2021-10-19,Pandora,7
NULL,2020-12-14,Middle-Earth,24
NULL,2021-12-25,Hogwarts,67
BA.1,2022-02-07,Hogwarts,202
Alpha,2021-07-19,Hogwarts,76
Alpha,2021-03-31,Narnia,13
NULL,2020-12-26,Narnia,7
NULL,2021-11-11,Hogwarts,75
NULL,2021-03-13,Agrabah,3
Delta,2021-11-06,Asgard,17
NULL,2021-02-15,Pandora,9
Alpha,2020-12-18,Hogwarts,6
Delta,2021-12-20,Wakanda,7
NULL,2020-09-11,Middle-Earth,24
NULL,2021-03-25,Pandora,7
BA.1,2022-02-03,Narnia,4
Alpha,2021-04-02,Narnia,4
NULL,2021-01-06,Gilead,6
NULL,2021-07-23,Narnia,3
NULL,2022-02-09,Narnia,9
BA.1,2022-02-23,Hogwarts,41
BA.2,2022-02-22,Pandora,73
BA.1,2022-02-02,Hogwarts,149
Alpha,2021-02-21,Panem,292
Alpha,2021-04-05,Narnia,3
NULL,2021-03-12,Gilead,5
Alpha,2021-02-15,Agrabah,7
NULL,2020-12-27,Panem,608
NULL,2021-10-21,Hogwarts,79
Delta,2021-10-28,Wakanda,6
Alpha,2021-05-11,Gilead,3
Eta,2021-02-24,Panem,11
NULL,2021-06-20,Hogwarts,24
NULL,2021-01-22,Panem,451
BA.2,2022-02-11,Narnia,51
Delta,2021-08-20,Asgard,23
NULL,2020-11-19,Panem,344
BA.2,2022-01-11,Asgard,14
NULL,2021-05-30,Panem,18
Alpha,2021-08-14,Hogwarts,3
Delta,2021-08-29,Agrabah,4
BA.2,2022-02-08,Pandora,168
NULL,2021-07-13,Hogwarts,68
BA.2,2022-02-26,Neverland,10
Alpha,2021-05-18,Panem,875
BA.1,2021-12-14,Narnia,33
NULL,2020-11-07,Panem,472
NULL,2020-11-16,Hogwarts,177
BA.2,2022-01-21,Narnia,26
BA.2,2022-02-03,Asgard,3
Alpha,2021-03-17,Pandora,7
Delta,2021-11-06,Gilead,6
Delta,2021-11-02,Asgard,16
Alpha,2021-03-22,Hogwarts,5
Alpha,2021-05-16,Pandora,4
NULL,2020-11-25,Gilead,3
NULL,2021-03-14,Pandora,3
NULL,2021-02-03,Narnia,12
Delta,2021-12-26,Hogwarts,150
NULL,2020-09-10,Panem,39
Eta,2021-02-22,Panem,22
NULL,2021-02-11,Gilead,9
BA.1,2022-01-20,Hogwarts,638
NULL,2020-11-04,Panem,352
Alpha,2021-05-21,Narnia,16
BA.2,2022-02-09,Hogwarts,1319
Delta,2021-06-29,Hogwarts,265
NULL,2020-10-29,Middle-Earth,6
BA.1,2021-12-19,Hogwarts,819
Delta,2021-10-21,Hogwarts,1426
BA.2,2022-02-06,Neverland,11
NULL,2022-01-31,Asgard,6
BA.2,2022-02-22,Gilead,24
Alpha,2021-01-16,Panem,49
NULL,2021-02-18,Agrabah,5
Alpha,2020-12-29,Hogwarts,3
Omicron,2022-01-11,Hogwarts,6
NULL,2021-12-21,Hogwarts,297
NULL,2021-03-15,Agrabah,4
BA.1,2022-01-25,Hogwarts,559
Delta,2021-12-10,Hogwarts,1555
NULL,2020-12-13,Hogwarts,336
Delta,2021-11-01,Wakanda,18
NULL,2021-02-17,Pandora,7
Beta,2021-03-02,Panem,4
BA.1,2022-01-24,Hogwarts,547
Delta,2021-08-27,Agrabah,6
BA.2,2021-12-28,Middle-Earth,25
Delta,2021-11-03,Wakanda,11
Delta,2021-12-30,Asgard,7
NULL,2020-10-10,Panem,117
BA.2,2022-01-15,Gilead,32
NULL,2021-02-04,Pandora,5
Alpha,2021-04-22,Agrabah,6
NULL,2021-02-16,Pandora,5
Alpha,2021-04-10,Pandora,6
Alpha,2021-05-14,Agrabah,4
Delta,2021-12-17,Hogwarts,321
Alpha,2021-02-25,Gilead,5
NULL,2020-12-17,Panem,825
Delta,2021-08-03,Hogwarts,853
BA.1,2022-02-01,Middle-Earth,12
Alpha,2021-03-02,Gilead,6
Delta,2021-12-08,Middle-Earth,63
NULL,2021-08-18,Hogwarts,36
NULL,2022-02-10,Hogwarts,94
BA.2,2022-01-13,Narnia,10
BA.2,2022-02-19,Gilead,35
NULL,2021-12-06,Middle-Earth,27
NULL,2021-05-29,Panem,51
Alpha,2020-12-23,Panem,10
Alpha,2021-04-26,Panem,465
BA.1,2021-12-09,Middle-Earth,24
NULL,2021-04-05,Gilead,4
Delta,2021-08-29,Narnia,7
Delta,2021-10-04,Wakanda,4
NULL,2021-12-12,Pandora,12
NULL,2021-01-28,Agrabah,3
BA.2,2022-02-01,Gilead,30
NULL,2022-02-20,Middle-Earth,13
Alpha,2021-04-05,Agrabah,5
Alpha,2021-06-01,Panem,188
Eta,2021-04-08,Hogwarts,5
NULL,2020-12-24,Pandora,12
Alpha,2021-05-31,Panem,41
BA.1,2021-12-21,Gilead,19
Alpha,2021-04-09,Gilead,3
NULL,2020-12-31,Middle-Earth,4
NULL,2021-11-22,Asgard,13
NULL,2021-11-29,Middle-Earth,16
Alpha,2020-12-01,Hogwarts,9
Delta,2021-10-29,Gilead,8
NULL,2021-01-31,Pandora,12
NULL,2021-01-02,Gilead,3
Alpha,2021-04-03,Agrabah,3
NULL,2021-02-06,Gilead,10
Delta,2021-12-30,Hogwarts,130
Delta,2021-10-05,Pandora,5
NULL,2021-04-14,Hogwarts,38
Delta,2021-12-06,Gilead,4
NULL,2020-12-25,Gilead,8
BA.1,2022-01-23,Asgard,9
BA.2,2022-01-02,Hogwarts,1154
Delta,2021-08-20,Agrabah,3
NULL,2021-01-21,Middle-Earth,81
Delta,2021-10-01,Neverland,13
BA.1,2022-02-26,Narnia,3
NULL,2020-11-24,Hogwarts,252
NULL,2021-04-30,Panem,96
BA.1,2022-01-12,Asgard,12
Alpha,2021-03-24,Panem,599
NULL,2021-11-12,Asgard,22
NULL,2021-11-22,Agrabah,4
NULL,2022-01-26,Gilead,3
Alpha,2021-01-28,Panem,71
Delta,2021-09-19,Gilead,4
Alpha,2021-04-12,Narnia,20
Delta,2021-12-05,Pandora,8
NULL,2021-11-23,Gilead,9
BA.1,2021-12-29,Hogwarts,368
BA.2,2022-01-17,Asgard,4
BA.2,2022-01-03,Pandora,46
Delta,2021-09-24,Wakanda,3
NULL,2022-01-09,Middle-Earth,36
BA.1,2022-01-29,Gilead,9
NULL,2021-03-13,Pandora,3
Alpha,2021-03-23,Panem,617
Delta,2021-11-18,Gilead,15
NULL,2020-11-30,Panem,522
NULL,2021-01-20,Gilead,3
NULL,2021-01-01,Hogwarts,208
Delta,2021-07-12,Asgard,18
Alpha,2021-01-17,Panem,45
NULL,2021-09-27,Hogwarts,17
Delta,2021-09-30,Neverland,13
NULL,2021-08-23,Agrabah,4
BA.2,2022-01-27,Hogwarts,1365
Alpha,2021-06-07,Wakanda,4
BA.1,2021-12-14,Gilead,15
NULL,2021-11-25,Wakanda,6
Delta,2021-10-14,Gilead,4
Delta,2021-10-11,Pandora,3
BA.2,2022-01-03,Asgard,7
Alpha,2021-02-12,Agrabah,4
Delta,2021-08-25,Pandora,5
BA.1,2022-01-27,Hogwarts,359
NULL,2021-12-13,Wakanda,8
BA.2,2022-01-09,Wakanda,4
Delta,2021-11-22,Pandora,19
NULL,2020-11-11,Panem,290
Delta,2021-10-30,Wakanda,10
Delta,2021-11-24,Middle-Earth,12
NULL,2021-05-12,Hogwarts,6
NULL,2021-02-05,Pandora,5
NULL,2021-02-01,Panem,421
NULL,2020-12-16,Panem,689
BA.2,2022-02-03,Hogwarts,1622
Delta,2021-07-28,Gilead,5
NULL,2021-11-09,Asgard,13
NULL,2020-11-17,Hogwarts,201
Delta,2021-11-02,Gilead,11
Alpha,2021-05-17,Pandora,6
NULL,2021-09-30,Asgard,3
BA.1,2021-12-23,Gilead,21
Alpha,2021-03-29,Hogwarts,10
NULL,2020-09-13,Hogwarts,6
NULL,2021-12-28,Hogwarts,306
Delta,2021-12-07,Asgard,104
Alpha,2021-07-31,Hogwarts,9
NULL,2021-07-02,Hogwarts,176
NULL,2021-11-21,Hogwarts,109
NULL,2022-01-26,Hogwarts,136
Alpha,2021-05-08,Narnia,5
BA.1,2021-12-06,Hogwarts,223
NULL,2020-09-05,Panem,170
NULL,2020-10-14,Hogwarts,7
NULL,2022-02-19,Middle-Earth,16
NULL,2020-10-24,Hogwarts,17
Omicron,2022-01-03,Hogwarts,9
Delta,2021-08-24,Asgard,17
NULL,2021-04-05,Panem,65
NULL,2021-04-29,Hogwarts,57
Delta,2021-10-16,Wakanda,4
NULL,2021-03-30,Gilead,4
Delta,2021-07-08,Narnia,10
BA.1,2022-01-30,Pandora,27
NULL,2020-10-08,Middle-Earth,6
BA.2,2021-12-17,Pandora,3
Alpha,2021-06-04,Asgard,7
Delta,2021-09-29,Gilead,4
Delta,2021-11-04,Wakanda,7
NULL,2021-05-20,Pandora,3
NULL,2021-02-10,Gilead,3
BA.1,2022-01-10,Agrabah,6
Alpha,2021-04-24,Agrabah,5
NULL,2020-10-05,Hogwarts,3
Delta,2021-05-24,Hogwarts,3
BA.1,2022-02-16,Gilead,3
Alpha,2021-02-28,Agrabah,3
Alpha,2021-03-30,Agrabah,7
Delta,2021-09-17,Narnia,9
NULL,2021-10-26,Wakanda,4
NULL,2021-01-25,Panem,639
NULL,2021-12-10,Asgard,5
NULL,2021-08-26,Hogwarts,162
NULL,2022-01-13,Hogwarts,223
Alpha,2021-01-28,Narnia,3
NULL,2021-11-24,Wakanda,7
Delta,2021-08-07,Asgard,21
Delta,2021-08-18,Hogwarts,855
Delta,2021-10-11,Agrabah,4
BA.2,2022-02-25,Neverland,6
NULL,2020-12-05,Middle-Earth,8
NULL,2021-02-17,Panem,254
BA.2,2022-01-12,Narnia,13
NULL,2020-11-01,Middle-Earth,12
NULL,2021-02-27,Narnia,3
NULL,2022-02-14,Narnia,14
NULL,2021-02-26,Gilead,3
Delta,2021-08-09,Agrabah,4
Alpha,2021-02-13,Agrabah,5
BA.2,2022-02-28,Asgard,43
NULL,2020-12-06,Gilead,15
Delta,2021-09-29,Hogwarts,412
NULL,2022-01-25,Middle-Earth,26
NULL,2022-01-11,Middle-Earth,60
BA.1,2021-12-10,Narnia,4
NULL,2022-01-02,Asgard,9
BA.2,2022-01-26,Wakanda,5
Delta,2021-09-10,Pandora,3
NULL,2022-02-24,Asgard,13
NULL,2022-02-17,Gilead,6
Alpha,2021-06-03,Agrabah,3
NULL,2021-09-22,Hogwarts,18
NULL,2021-12-06,Pandora,8
BA.2,2022-01-23,Pandora,134
NULL,2021-02-10,Panem,280
NULL,2020-10-01,Panem,78
Delta,2021-11-10,Wakanda,8
BA.1,2022-01-28,Narnia,13
NULL,2021-09-23,Hogwarts,21
Delta,2021-11-23,Pandora,17
Delta,2021-12-01,Narnia,17
Alpha,2021-04-28,Agrabah,10
BA.2,2022-01-31,Middle-Earth,145
NULL,2021-12-01,Hogwarts,360
Delta,2021-07-11,Hogwarts,720
NULL,2021-05-07,Hogwarts,10
Delta,2021-09-12,Hogwarts,387
NULL,2020-12-26,Hogwarts,278
BA.1,2022-02-16,Hogwarts,69
BA.2,2022-01-12,Gilead,18
NULL,2022-01-28,Asgard,17
NULL,2020-12-03,Panem,494
NULL,2021-06-21,Pandora,5
Alpha,2021-05-05,Agrabah,4
Delta,2021-08-12,Agrabah,7
NULL,2021-11-02,Asgard,8
BA.1,2022-02-12,Narnia,5
NULL,2021-03-02,Narnia,7
Alpha,2020-12-07,Hogwarts,11
BA.2,2022-02-04,Asgard,4
Alpha,2021-08-08,Hogwarts,14
BA.2,2022-01-26,Gilead,19
NULL,2021-12-13,Gilead,8
NULL,2021-11-29,Hogwarts,120
Alpha,2021-05-29,Gilead,10
NULL,2021-03-26,Pandora,11
NULL,2021-04-30,Hogwarts,66
Beta,2021-03-03,Panem,5
BA.2,2022-01-24,Pandora,271
BA.1,2022-01-27,Pandora,24
BA.2,2022-01-21,Asgard,18
Eta,2021-02-23,Panem,8
NULL,2021-06-21,Hogwarts,63
NULL,2022-02-11,Narnia,9
NULL,2021-05-03,Pandora,4
Alpha,2021-05-25,Wakanda,5
BA.2,2022-01-17,Pandora,163
NULL,2021-02-01,Narnia,9
Delta,2022-01-18,Hogwarts,8
NULL,2020-12-07,Panem,501
NULL,2020-11-18,Hogwarts,170
BA.2,2022-02-10,Gilead,48
BA.1,2022-01-22,Middle-Earth,7
NULL,2021-03-02,Panem,217
NULL,2021-11-24,Gilead,8
NULL,2021-08-05,Hogwarts,144
NULL,2021-01-21,Pandora,10
BA.2,2022-01-12,Middle-Earth,32
NULL,2021-04-10,Gilead,3
Delta,2021-08-28,Asgard,23
BA.2,2022-02-05,Narnia,34
NULL,2021-10-01,Hogwarts,29
Alpha,2020-12-15,Panem,15
NULL,2021-08-30,Gilead,3
Delta,2021-08-20,Narnia,4
Delta,2021-10-14,Narnia,6
Alpha,2021-04-03,Pandora,3
Alpha,2021-03-01,Narnia,4
Delta,2021-10-22,Pandora,4
NULL,2021-03-29,Panem,194
NULL,2021-12-28,Wakanda,4
NULL,2022-01-05,Pandora,25
Delta,2021-09-21,Narnia,3
NULL,2021-12-23,Middle-Earth,16
NULL,2021-05-10,Panem,235
BA.2,2022-01-31,Gilead,45
NULL,2021-10-05,Hogwarts,60
BA.2,2022-02-10,Narnia,67
BA.1,2022-02-11,Hogwarts,145
Eta,2021-03-27,Panem,6
Omicron,2022-01-25,Hogwarts,14
Alpha,2021-05-27,Asgard,8
Delta,2021-11-04,Hogwarts,2138
NULL,2020-11-26,Middle-Earth,30
Alpha,2021-05-10,Panem,810
Alpha,2021-01-14,Hogwarts,8
BA.2,2022-02-23,Asgard,31
NULL,2021-12-05,Hogwarts,595
BA.2,2022-02-02,Narnia,37
NULL,2020-10-11,Middle-Earth,6
Delta,2022-01-03,Gilead,4
NULL,2021-07-14,Hogwarts,73
BA.1,2022-01-02,Asgard,27
NULL,2021-01-17,Pandora,7
NULL,2021-02-10,Narnia,13
BA.2,2022-02-20,Middle-Earth,54
Alpha,2021-07-06,Hogwarts,129
NULL,2022-02-11,Gilead,9
NULL,2021-11-03,Wakanda,7
BA.2,2021-12-26,Gilead,4
NULL,2022-01-06,Gilead,3
BA.1,2022-01-30,Middle-Earth,7
NULL,2022-01-20,Narnia,5
NULL,2022-03-01,Asgard,8
Delta,2021-10-07,Asgard,7
Alpha,2021-05-16,Narnia,5
Delta,2021-07-30,Hogwarts,820
Delta,2020-12-30,Hogwarts,8
BA.2,2021-12-26,Hogwarts,89
Alpha,2021-03-30,Hogwarts,8
Delta,2021-10-05,Neverland,13
BA.2,2022-01-03,Hogwarts,504
NULL,2021-02-23,Panem,248
NULL,2021-11-15,Wakanda,5
Delta,2021-10-31,Pandora,3
Omicron,2022-01-13,Hogwarts,12
Delta,2021-12-18,Hogwarts,471
NULL,2020-11-09,Hogwarts,128
Alpha,2021-05-31,Hogwarts,1302
NULL,2022-02-10,Narnia,13
NULL,2020-11-15,Panem,672
NULL,2021-12-30,Hogwarts,182
NULL,2020-12-02,Gilead,6
Delta,2021-08-09,Asgard,12
Alpha,2021-02-25,Hogwarts,27
NULL,2021-01-01,Panem,831
BA.1,2021-11-28,Hogwarts,13
NULL,2021-04-17,Panem,208
NULL,2021-03-13,Hogwarts,110
NULL,2021-09-20,Hogwarts,123
NULL,2020-10-28,Middle-Earth,6
NULL,2021-10-28,Hogwarts,100
Alpha,2021-03-09,Agrabah,12
NULL,2021-07-22,Hogwarts,43
NULL,2020-11-05,Hogwarts,123
NULL,2020-12-26,Pandora,7
BA.2,2021-12-22,Pandora,7
BA.2,2022-02-28,Agrabah,7
Delta,2021-09-09,Asgard,14
NULL,2020-12-30,Narnia,35
NULL,2021-12-16,Middle-Earth,64
Alpha,2020-12-23,Hogwarts,11
NULL,2021-02-13,Panem,183
NULL,2022-01-04,Asgard,13
Delta,2021-12-11,Middle-Earth,30
NULL,2021-01-11,Hogwarts,215
NULL,2021-12-18,Narnia,5
Alpha,2021-06-22,Asgard,3
NULL,2020-10-06,Middle-Earth,6
Alpha,2021-05-18,Agrabah,9
Delta,2021-11-11,Pandora,7
Eta,2021-04-15,Panem,5
Delta,2021-10-27,Hogwarts,1668
BA.2,2022-01-22,Asgard,34
NULL,2021-01-13,Pandora,8
BA.1,2021-12-29,Pandora,100
NULL,2021-05-08,Pandora,6
NULL,2022-01-13,Narnia,13
Delta,2021-12-16,Middle-Earth,63
BA.1,2022-02-04,Narnia,11
BA.1,2022-02-17,Pandora,8
NULL,2020-12-19,Hogwarts,348
Alpha,2021-05-13,Agrabah,5
NULL,2022-01-30,Middle-Earth,23
NULL,2021-02-05,Middle-Earth,42
Alpha,2021-03-05,Gilead,6
Delta,2022-01-13,Hogwarts,28
NULL,2021-08-14,Hogwarts,276
NULL,2021-05-09,Hogwarts,73
NULL,2021-03-10,Panem,146
BA.2,2022-02-15,Narnia,51
NULL,2021-05-21,Panem,144
NULL,2021-11-18,Hogwarts,220
Alpha,2020-12-30,Panem,7
BA.2,2022-03-01,Hogwarts,1879
BA.2,2022-01-23,Hogwarts,1556
BA.2,2022-01-09,Hogwarts,164
BA.1,2022-01-05,Hogwarts,1120
NULL,2021-11-30,Narnia,9
Alpha,2021-07-24,Hogwarts,19
NULL,2021-03-28,Panem,159
Delta,2021-07-21,Narnia,4
Alpha,2021-05-17,Panem,397
Delta,2021-11-17,Gilead,6
NULL,2022-01-01,Pandora,14
Delta,2021-10-28,Neverland,4
Alpha,2021-03-26,Narnia,6
NULL,2021-02-19,Hogwarts,4
NULL,2021-04-25,Narnia,3
Delta,2021-09-15,Agrabah,4
Delta,2021-10-11,Neverland,3
Alpha,2021-04-19,Wakanda,7
NULL,2021-03-17,Agrabah,4
NULL,2021-10-30,Hogwarts,36
BA.1,2022-01-19,Pandora,50
NULL,2021-12-10,Pandora,8
Alpha,2021-05-29,Panem,563
Eta,2021-03-16,Panem,23
NULL,2021-01-09,Agrabah,18
NULL,2021-11-24,Hogwarts,111
BA.2,2022-01-27,Asgard,21
NULL,2020-12-04,Gilead,17
NULL,2020-10-07,Panem,105
BA.2,2022-02-21,Pandora,118
BA.1,2022-01-15,Hogwarts,716
BA.2,2022-02-01,Middle-Earth,107
NULL,2020-11-14,Panem,344
Delta,2021-12-07,Wakanda,16
Delta,2021-12-18,Pandora,20
Delta,2021-11-15,Wakanda,25
NULL,2021-07-18,Hogwarts,27
Delta,2021-06-03,Hogwarts,7
